route_id,origin_airport,destination_airport,distance_miles,route_type,haul_type,popularity_weight
222,MIA,DTW,1148,Domestic,Medium-haul,3.728
223,MIA,FLL,21,Domestic,Short-haul,1.87
224,MIA,JFK,1092,Domestic,Medium-haul,4.084
225,MIA,LAX,2338,Domestic,Long-haul,3.242
226,MIA,MSP,1503,Domestic,Medium-haul,3.579
227,MIA,SEA,2721,Domestic,Long-haul,2.645
228,MIA,SLC,2086,Domestic,Long-haul,3.324
229,MSP,ATL,907,Domestic,Medium-haul,3.99
230,MSP,AUS,1043,Domestic,Medium-haul,4.183
231,MSP,BOS,1121,Domestic,Medium-haul,4.088
232,MSP,CLT,930,Domestic,Medium-haul,4.017
233,MSP,CVG,596,Domestic,Short-haul,4.428
234,MSP,DCA,929,Domestic,Medium-haul,4.181
235,MSP,DEN,679,Domestic,Short-haul,4.042
236,MSP,DFW,853,Domestic,Medium-haul,4.312
237,MSP,DTW,527,Domestic,Short-haul,4.357
238,MSP,FLL,1489,Domestic,Medium-haul,3.796
239,MSP,HNL,3967,International,Long-haul,1.685
240,MSP,IAD,906,Domestic,Medium-haul,4.268
241,MSP,IAH,1036,Domestic,Medium-haul,3.918
242,MSP,JFK,1026,Domestic,Medium-haul,3.736
243,MSP,LAS,1297,Domestic,Medium-haul,3.98
244,MSP,LAX,1533,Domestic,Medium-haul,3.396
245,MSP,LGA,1018,Domestic,Medium-haul,3.896
246,MSP,MCO,1311,Domestic,Medium-haul,3.992
247,MSP,MIA,1503,Domestic,Medium-haul,3.848
248,MSP,ORD,334,Domestic,Short-haul,4.536
249,MSP,PDX,1422,Domestic,Medium-haul,3.749
250,MSP,PHL,978,Domestic,Medium-haul,3.991
251,MSP,PHX,1275,Domestic,Medium-haul,3.69
252,MSP,RDU,980,Domestic,Medium-haul,3.929
253,MSP,SAN,1531,Domestic,Medium-haul,3.688
254,MSP,SEA,1395,Domestic,Medium-haul,3.83
255,MSP,SFO,1586,Domestic,Medium-haul,3.706
256,MSP,SLC,989,Domestic,Medium-haul,4.153
257,MSP,TPA,1308,Domestic,Medium-haul,3.565
258,ORD,ATL,606,Domestic,Short-haul,4.293
259,ORD,DTW,234,Domestic,Short-haul,4.353
260,ORD,JFK,738,Domestic,Medium-haul,4.221
261,ORD,LAX,1741,Domestic,Medium-haul,3.415
262,ORD,MSP,334,Domestic,Short-haul,4.693
263,ORD,SEA,1716,Domestic,Medium-haul,3.388
264,ORD,SLC,1247,Domestic,Medium-haul,3.623
265,PDX,ATL,2168,Domestic,Long-haul,2.945
266,PDX,DTW,1948,Domestic,Long-haul,3.42
267,PDX,JFK,2447,Domestic,Long-haul,2.974
268,PDX,LAX,835,Domestic,Medium-haul,3.924
269,PDX,MSP,1422,Domestic,Medium-haul,3.476
270,PDX,SEA,129,Domestic,Short-haul,4.754
271,PDX,SLC,628,Domestic,Short-haul,4.065
272,PHL,ATL,666,Domestic,Short-haul,4.411
273,PHL,DTW,452,Domestic,Short-haul,4.514
274,PHL,JFK,94,Domestic,Short-haul,4.47
275,PHL,LAX,2396,Domestic,Long-haul,2.745
276,PHL,MSP,978,Domestic,Medium-haul,4.26
277,PHL,SEA,2372,Domestic,Long-haul,2.908
278,PHL,SLC,1922,Domestic,Long-haul,3.244
279,PHX,ATL,1584,Domestic,Medium-haul,3.718
280,PHX,DTW,1668,Domestic,Medium-haul,3.723
281,PHX,JFK,2149,Domestic,Long-haul,3.381
282,PHX,LAX,369,Domestic,Short-haul,4.6
283,PHX,MSP,1275,Domestic,Medium-haul,3.732
284,PHX,SEA,1107,Domestic,Medium-haul,3.712
285,PHX,SLC,508,Domestic,Short-haul,4.508
286,RDU,ATL,355,Domestic,Short-haul,4.513
287,RDU,DTW,501,Domestic,Short-haul,4.336
288,RDU,JFK,427,Domestic,Short-haul,4.633
289,RDU,LAX,2234,Domestic,Long-haul,2.88
290,RDU,MSP,980,Domestic,Medium-haul,4.011
291,RDU,SEA,2349,Domestic,Long-haul,2.744
292,RDU,SLC,1819,Domestic,Long-haul,3.37
293,SAN,ATL,1888,Domestic,Long-haul,3.112
294,SAN,DTW,1953,Domestic,Long-haul,3.095
295,SAN,JFK,2441,Domestic,Long-haul,2.728
296,SAN,LAX,109,Domestic,Short-haul,4.743
297,SAN,MSP,1531,Domestic,Medium-haul,3.725
298,SAN,SEA,1052,Domestic,Medium-haul,4.003
299,SAN,SLC,627,Domestic,Short-haul,4.511
300,SEA,ATL,2178,Domestic,Long-haul,3.054
301,SEA,AUS,1769,Domestic,Medium-haul,3.316
302,SEA,BOS,2489,Domestic,Long-haul,3.068
303,SEA,CLT,2274,Domestic,Long-haul,2.906
304,SEA,CVG,1960,Domestic,Long-haul,3.512
305,SEA,DCA,2323,Domestic,Long-haul,2.764
306,SEA,DEN,1022,Domestic,Medium-haul,4.218
307,SEA,DFW,1658,Domestic,Medium-haul,3.278
308,SEA,DTW,1922,Domestic,Long-haul,3.504
309,SEA,FLL,2714,Domestic,Long-haul,2.728
310,SEA,HNL,2677,International,Long-haul,2.989
311,SEA,IAD,2300,Domestic,Long-haul,2.812
312,SEA,IAH,1872,Domestic,Long-haul,3.373
313,SEA,JFK,2415,Domestic,Long-haul,3.173
314,SEA,LAS,867,Domestic,Medium-haul,4.111
315,SEA,LAX,955,Domestic,Medium-haul,4.098
316,SEA,LGA,2406,Domestic,Long-haul,3.043
317,SEA,MCO,2551,Domestic,Long-haul,2.814
318,SEA,MIA,2721,Domestic,Long-haul,2.773
319,SEA,MSP,1395,Domestic,Medium-haul,3.746
320,SEA,ORD,1716,Domestic,Medium-haul,3.664
321,SEA,PDX,129,Domestic,Short-haul,4.426
322,SEA,PHL,2372,Domestic,Long-haul,2.861
323,SEA,PHX,1107,Domestic,Medium-haul,4.145
324,SEA,RDU,2349,Domestic,Long-haul,3.183
325,SEA,SAN,1052,Domestic,Medium-haul,3.939
326,SEA,SFO,679,Domestic,Short-haul,4.301
327,SEA,SLC,688,Domestic,Short-haul,4.123
328,SEA,TPA,2517,Domestic,Long-haul,2.706
329,SFO,ATL,2134,Domestic,Long-haul,3.131
330,SFO,DTW,2074,Domestic,Long-haul,3.121
331,SFO,JFK,2580,Domestic,Long-haul,2.857
332,SFO,LAX,338,Domestic,Short-haul,4.285
333,SFO,MSP,1586,Domestic,Medium-haul,3.798
334,SFO,SEA,679,Domestic,Short-haul,4.484
335,SFO,SLC,598,Domestic,Short-haul,4.401
336,SLC,ATL,1587,Domestic,Medium-haul,3.578
337,SLC,AUS,1085,Domestic,Medium-haul,3.841
338,SLC,BOS,2100,Domestic,Long-haul,3.332
339,SLC,CLT,1723,Domestic,Medium-haul,3.55
340,SLC,CVG,1446,Domestic,Medium-haul,3.497
341,SLC,DCA,1847,Domestic,Long-haul,3.57
342,SLC,DEN,390,Domestic,Short-haul,4.619
343,SLC,DFW,988,Domestic,Medium-haul,4.234
344,SLC,DTW,1478,Domestic,Medium-haul,3.754
345,SLC,FLL,2081,Domestic,Long-haul,3.246
346,SLC,HNL,2991,International,Long-haul,2.466
347,SLC,IAD,1823,Domestic,Long-haul,3.599
348,SLC,IAH,1195,Domestic,Medium-haul,4.037
349,SLC,JFK,1984,Domestic,Long-haul,3.035
350,SLC,LAS,368,Domestic,Short-haul,4.237
351,SLC,LAX,590,Domestic,Short-haul,4.246
352,SLC,LGA,1978,Domestic,Long-haul,3.422
353,SLC,MCO,1928,Domestic,Long-haul,3.548
354,SLC,MIA,2086,Domestic,Long-haul,3.011
355,SLC,MSP,989,Domestic,Medium-haul,4.055
356,SLC,ORD,1247,Domestic,Medium-haul,3.755
357,SLC,PDX,628,Domestic,Short-haul,4.514
358,SLC,PHL,1922,Domestic,Long-haul,3.48
359,SLC,PHX,508,Domestic,Short-haul,4.538
360,SLC,RDU,1819,Domestic,Long-haul,3.37
361,SLC,SAN,627,Domestic,Short-haul,4.237
362,SLC,SEA,688,Domestic,Short-haul,4.121
363,SLC,SFO,598,Domestic,Short-haul,4.08
364,SLC,TPA,1885,Domestic,Long-haul,3.519
365,TPA,ATL,407,Domestic,Short-haul,4.601
366,TPA,DTW,985,Domestic,Medium-haul,4.261
367,TPA,JFK,1006,Domestic,Medium-haul,4.244
368,TPA,LAX,2154,Domestic,Long-haul,3.162
369,TPA,MSP,1308,Domestic,Medium-haul,3.903
370,TPA,SEA,2517,Domestic,Long-haul,3.085
371,TPA,SLC,1885,Domestic,Long-haul,3.511
