flight_id,date_id,flight_number,route_id,origin_airport,destination_airport,aircraft_id,captain_id,first_officer_id,scheduled_departure,scheduled_arrival,actual_departure,actual_arrival,departure_delay_minutes,arrival_delay_minutes,delay_reason_id,cancelled,cancellation_reason_id,diverted,distance_miles,scheduled_block_minutes,taxi_out_minutes,taxi_in_minutes,aircraft_capacity,seats_sold,load_factor,base_fare_avg_usd
18,20230101,DL3520,9,ATL,FLL,3,531,26,2023-01-01 06:35:00,2023-01-01 08:22:10.491918,2023-01-01 06:33:05.459364,2023-01-01 08:25:43.709173,-1.9,3.6,0,False,,False,582,107.2,24.5,6.7,109,90,0.826,149.86
19,20230101,DL3143,224,MIA,JFK,60,438,288,2023-01-01 06:45:00,2023-01-01 09:41:15.597662,2023-01-01 06:40:00,2023-01-01 09:49:09.928285,-5,7.9,0,False,,False,1092,176.3,27.6,6.3,150,126,0.84,213.62
20,20230101,DL2698,354,SLC,MIA,110,731,751,2023-01-01 14:35:00,2023-01-01 19:36:29.406789,2023-01-01 15:09:45.257273,2023-01-01 20:10:22.983867,34.8,33.9,5,False,,False,2086,301.5,17.2,12.2,178,139,0.781,341.96
21,20230101,DL2222,84,DTW,AUS,102,377,418,2023-01-01 21:05:00,2023-01-02 00:03:01.161733,2023-01-01 21:00:13.688880,2023-01-02 00:02:10.596774,-4.8,-0.8,0,False,,False,1148,178.0,15.3,12.9,178,156,0.876,239.33
22,20230101,DL1426,204,LAX,TPA,115,428,636,2023-01-01 18:55:00,2023-01-02 00:01:20.129455,2023-01-01 18:56:30.808329,2023-01-01 23:48:43.526263,1.5,-12.6,0,False,,False,2154,306.3,13.1,12.2,180,163,0.906,336.04
23,20230101,DL2970,339,SLC,CLT,21,392,679,2023-01-01 14:35:00,2023-01-01 18:51:56.688129,2023-01-01 15:20:58.299075,2023-01-01 19:33:08.072943,46.0,41.2,1,False,,False,1723,256.9,21.0,11.2,130,120,0.923,344.92
24,20230101,DL4151,49,CLT,LAX,77,595,297,2023-01-01 09:00:00,2023-01-01 13:58:19.939617,2023-01-01 09:02:44.642808,2023-01-01 13:56:22.460321,2.7,-2.0,0,False,,False,2120,298.3,14.6,7.2,192,140,0.729,329.77
25,20230101,DL3308,195,LAX,ORD,68,162,172,2023-01-01 14:35:00,2023-01-01 18:46:06.690525,2023-01-01 14:39:33.334734,2023-01-01 19:01:14.697348,4.6,15.1,0,False,,False,1741,251.1,15.0,9.0,192,176,0.917,304.93
26,20230101,DL1716,278,PHL,SLC,103,369,340,2023-01-01 18:55:00,2023-01-01 23:36:04.824516,2023-01-01 19:22:37.367992,2023-01-02 00:17:08.361824,27.6,41.1,3,False,,False,1922,281.1,21.9,8.5,178,149,0.837,373.3
27,20230101,DL4104,249,MSP,PDX,114,183,120,2023-01-01 16:35:00,2023-01-01 20:04:06.255858,2023-01-01 16:38:38.234017,2023-01-01 20:05:54.501496,3.6,1.8,5,False,,False,1422,209.1,14.7,9.0,178,148,0.831,274.47
28,20230101,DL2551,173,LAS,MSP,107,381,79,2023-01-01 19:40:00,2023-01-01 23:08:55.178194,2023-01-01 19:35:00,2023-01-01 23:26:48.490446,-5,17.9,0,False,,False,1297,208.9,24.6,15.2,178,149,0.837,231.0
29,20230101,DL2031,74,DEN,SLC,24,381,676,2023-01-01 17:40:00,2023-01-01 19:07:50.918174,2023-01-01 18:03:51.324012,2023-01-01 19:34:53.618215,23.9,27.0,2,False,,False,390,87.8,23.7,13.3,130,99,0.762,120.15
30,20230101,DL1581,182,LAX,DEN,106,494,176,2023-01-01 20:50:00,2023-01-01 23:10:59.234929,2023-01-01 20:53:41.040238,2023-01-01 23:17:15.083691,3.7,6.3,0,False,,False,861,141.0,21.6,7.1,178,139,0.781,193.66
31,20230101,DL3923,138,IAH,SEA,126,256,176,2023-01-01 21:10:00,2023-01-02 01:43:01.991143,2023-01-01 21:05:00,2023-01-02 01:50:38.167838,-5,7.6,0,False,,False,1872,273.0,22.0,6.8,211,169,0.801,360.76
32,20230101,DL1418,176,LAX,ATL,125,738,149,2023-01-01 18:35:00,2023-01-01 23:15:25.818530,2023-01-01 18:31:38.457008,2023-01-01 23:10:26.582674,-3.4,-5.0,0,False,,False,1942,280.4,16.3,10.9,211,152,0.72,365.7
33,20230101,DL2378,135,IAH,JFK,94,242,352,2023-01-01 19:00:00,2023-01-01 22:27:18.362574,2023-01-01 18:56:11.137812,2023-01-01 22:22:06.441492,-3.8,-5.2,0,False,,False,1415,207.3,13.3,9.4,160,148,0.925,281.03
34,20230101,DL4195,312,SEA,IAH,110,438,77,2023-01-01 06:45:00,2023-01-01 11:08:51.572694,2023-01-01 06:48:01.283611,2023-01-01 11:06:38.556209,3.0,-2.2,0,False,,False,1872,263.9,13.8,5.8,178,147,0.826,339.5
35,20230101,DL2600,285,PHX,SLC,59,834,656,2023-01-01 12:45:00,2023-01-01 14:16:05.120959,2023-01-01 13:52:01.360895,2023-01-01 15:23:37.230023,67.0,67.5,3,False,,False,508,91.1,16.8,8.0,150,132,0.88,144.31
36,20230101,DL3853,113,FLL,DTW,57,702,340,2023-01-01 11:50:00,2023-01-01 14:51:47.073238,2023-01-01 12:03:40.116943,2023-01-01 15:02:59.060146,13.7,11.2,5,False,,False,1130,181.8,25.1,9.3,150,122,0.813,227.66
37,20230101,DL1412,214,MCO,ATL,17,211,424,2023-01-01 06:30:00,2023-01-01 07:46:31.868190,2023-01-01 07:15:41.963588,2023-01-01 08:33:18.528341,45.7,46.8,2,False,,False,404,76.5,15.4,8.5,130,100,0.769,112.13
38,20230101,DL2328,99,DTW,MCO,101,174,170,2023-01-01 21:15:00,2023-01-01 23:55:01.272917,2023-01-01 22:31:10.895086,2023-01-02 00:59:44.950028,76.2,64.7,2,False,,False,959,160.0,25.3,9.6,178,162,0.91,205.48
39,20230101,DL1749,167,JFK,SLC,71,453,592,2023-01-01 08:05:00,2023-01-01 12:43:58.648707,2023-01-01 08:05:40.739685,2023-01-01 12:50:40.260001,0.7,6.7,0,False,,False,1984,279.0,11.7,8.5,192,158,0.823,381.69
40,20230101,DL1616,130,IAD,MSP,46,717,93,2023-01-01 13:00:00,2023-01-01 15:19:30.627326,,,,,0,True,1,False,906,139.5,13.3,8.0,150,0,,194.0
41,20230101,DL4085,245,MSP,LGA,12,757,22,2023-01-01 14:25:00,2023-01-01 17:01:08.312746,2023-01-01 14:34:15.542126,2023-01-01 16:58:39.018829,9.3,-2.5,1,False,,False,1018,156.1,14.7,8.6,130,114,0.877,195.47
42,20230101,DL4086,137,IAH,MSP,49,494,93,2023-01-01 19:45:00,2023-01-01 22:29:10.159346,2023-01-01 19:48:08.548537,2023-01-01 22:39:35.476059,3.1,10.4,0,False,,False,1036,164.2,15.0,14.0,150,135,0.9,232.34
43,20230101,DL2384,170,LAS,DTW,96,489,418,2023-01-01 11:45:00,2023-01-01 15:59:31.497443,2023-01-01 12:13:51.016836,2023-01-01 16:36:51.374543,28.9,37.3,5,False,,False,1745,254.5,16.7,10.2,160,109,0.681,303.52
44,20230101,DL3261,267,PDX,JFK,116,595,424,2023-01-01 18:35:00,2023-01-02 00:26:19.031349,2023-01-01 18:39:35.347048,2023-01-02 00:28:26.503607,4.6,2.1,0,False,,False,2447,351.3,24.9,7.2,180,178,0.989,446.83
45,20230101,DL3954,152,JFK,IAH,105,242,65,2023-01-01 07:05:00,2023-01-01 10:30:07.632315,2023-01-01 07:00:00,2023-01-01 10:30:55.623662,-5,0.8,0,False,,False,1415,205.1,11.2,9.4,178,170,0.955,272.2
46,20230101,DL2632,337,SLC,AUS,93,257,473,2023-01-01 19:35:00,2023-01-01 22:25:00.161890,2023-01-01 19:37:33.716007,2023-01-01 22:40:48.148555,2.6,15.8,0,False,,False,1085,170.0,23.4,5.1,160,134,0.838,230.68
47,20230101,DL2093,66,DCA,SEA,118,489,84,2023-01-01 09:40:00,2023-01-01 15:10:44.878307,2023-01-01 10:25:31.563889,2023-01-01 16:04:50.850689,45.5,54.1,3,False,,False,2323,330.7,21.7,6.0,180,170,0.944,391.04
48,20230101,DL1988,274,PHL,JFK,60,684,277,2023-01-01 07:00:00,2023-01-01 07:35:46.353787,2023-01-01 07:20:23.180341,2023-01-01 07:46:18.741490,20.4,10.5,3,False,,False,94,35.8,14.8,8.7,150,144,0.96,72.57
49,20230101,DL3554,156,JFK,MCO,51,489,120,2023-01-01 21:40:00,2023-01-02 00:08:38.006855,2023-01-01 21:38:20.820385,2023-01-02 00:19:10.667942,-1.7,10.5,0,False,,False,945,148.6,17.9,7.5,150,112,0.747,219.5
50,20230101,DL3514,157,JFK,MIA,92,695,733,2023-01-01 18:40:00,2023-01-01 21:23:29.711307,2023-01-01 19:25:19.825158,2023-01-01 21:58:04.566009,45.3,34.6,5,False,,False,1092,163.5,13.8,7.2,160,131,0.819,217.75
51,20230101,DL3392,236,MSP,DFW,16,349,601,2023-01-01 12:50:00,2023-01-01 15:09:23.470931,2023-01-01 12:45:00,2023-01-01 14:55:51.193180,-5,-13.5,0,False,,False,853,139.4,16.8,11.4,130,111,0.854,185.3
52,20230101,DL3309,195,LAX,ORD,73,356,166,2023-01-01 20:30:00,2023-01-02 00:46:22.716744,2023-01-01 21:03:09.635486,2023-01-02 01:19:45.745094,33.2,33.4,2,False,,False,1741,256.4,21.5,7.8,192,172,0.896,329.47
53,20230101,DL3613,153,JFK,LAS,77,34,22,2023-01-01 20:55:00,2023-01-02 02:10:59.929433,2023-01-01 21:39:11.210234,2023-01-02 03:06:05.486894,44.2,55.1,3,False,,False,2243,316.0,15.1,8.4,192,169,0.88,357.05
54,20230101,DL2557,1,ATL,AUS,100,312,666,2023-01-01 12:20:00,2023-01-01 14:26:01.309760,2023-01-01 12:19:04.759308,2023-01-01 14:27:14.871153,-0.9,1.2,0,False,,False,811,126.0,12.1,8.2,160,139,0.869,176.33
55,20230101,DL2384,33,AUS,LAX,16,474,299,2023-01-01 21:35:00,2023-01-02 00:42:24.442771,2023-01-01 21:34:39.174009,2023-01-02 00:33:01.262059,-0.3,-9.4,0,False,,False,1239,187.4,14.6,11.2,130,120,0.923,247.03
56,20230101,DL3793,263,ORD,SEA,50,356,418,2023-01-01 16:05:00,2023-01-01 20:11:21.047777,2023-01-01 16:01:28.204228,2023-01-01 20:12:39.586219,-3.5,1.3,0,False,,False,1716,246.4,13.7,8.8,150,148,0.987,327.01
57,20230101,DL3310,195,LAX,ORD,76,630,606,2023-01-01 19:15:00,2023-01-01 23:33:35.502207,2023-01-01 19:15:54.029083,2023-01-01 23:35:07.518459,0.9,1.5,0,False,,False,1741,258.6,19.6,11.9,192,186,0.969,293.28
58,20230101,DL3789,259,ORD,DTW,25,834,292,2023-01-01 18:35:00,2023-01-01 19:30:49.708104,2023-01-01 18:39:05.089976,2023-01-01 19:19:22.360986,4.1,-11.5,0,False,,False,234,55.8,18.8,6.5,126,122,0.968,107.89
59,20230101,DL4172,356,SLC,ORD,64,503,734,2023-01-01 11:05:00,2023-01-01 14:16:43.633868,2023-01-01 11:05:12.370738,2023-01-01 14:13:57.869478,0.2,-2.8,0,False,,False,1247,191.7,18.1,11.0,150,140,0.933,234.47
60,20230101,DL4201,254,MSP,SEA,81,580,739,2023-01-01 18:10:00,2023-01-01 21:43:57.028626,2023-01-01 18:05:00,2023-01-01 21:41:32.027811,-5,-2.4,0,False,,False,1395,214.0,22.8,9.2,192,175,0.911,276.52
61,20230101,DL2221,19,ATL,MSP,87,516,415,2023-01-01 17:55:00,2023-01-01 20:22:38.459793,2023-01-01 18:08:51.700923,2023-01-01 20:28:57.368468,13.9,6.3,2,False,,False,907,147.6,20.2,9.1,160,148,0.925,215.63
62,20230101,DL1880,111,DTW,TPA,112,257,120,2023-01-01 12:05:00,2023-01-01 14:35:42.707595,2023-01-01 12:14:02.685268,2023-01-01 14:42:41.102510,9.0,7.0,1,False,,False,985,150.7,12.0,10.2,178,164,0.921,216.86
63,20230101,DL1709,221,MIA,ATL,149,738,415,2023-01-01 07:10:00,2023-01-01 08:51:06.921262,2023-01-01 07:11:41.040253,2023-01-01 08:50:53.887464,1.7,-0.2,0,False,,False,596,101.1,12.2,11.2,76,66,0.868,164.06
64,20230101,DL2336,85,DTW,BOS,47,744,418,2023-01-01 21:45:00,2023-01-01 23:37:44.870625,2023-01-01 21:40:00,2023-01-01 23:38:43.756737,-5,1.0,0,False,,False,630,112.7,21.5,9.1,150,130,0.867,171.21
65,20230101,DL2517,359,SLC,PHX,54,697,513,2023-01-01 16:10:00,2023-01-01 17:39:20.193716,,,,,0,True,2,False,508,89.3,15.1,7.9,150,0,,150.68
66,20230101,DL2714,352,SLC,LGA,125,834,65,2023-01-01 08:00:00,2023-01-01 12:49:46.240177,2023-01-01 09:18:53.518663,2023-01-01 14:03:58.349865,78.9,74.2,2,False,,False,1978,289.8,17.0,14.8,211,188,0.891,369.27
67,20230101,DL2236,315,SEA,LAX,22,580,823,2023-01-01 08:10:00,2023-01-01 10:32:42.171102,2023-01-01 08:08:15.685263,2023-01-01 10:41:59.891007,-1.7,9.3,0,False,,False,955,142.7,12.2,6.0,130,104,0.8,206.31
68,20230101,DL2597,174,LAS,SEA,72,370,172,2023-01-01 18:00:00,2023-01-01 20:16:03.969580,2023-01-01 18:11:15.381184,2023-01-01 20:18:30.027056,11.3,2.4,2,False,,False,867,136.1,14.0,8.9,192,172,0.896,211.19
69,20230101,DL4308,313,SEA,JFK,109,738,285,2023-01-01 09:15:00,2023-01-01 14:53:56.735963,2023-01-01 09:25:03.237998,2023-01-01 15:05:43.772127,10.1,11.8,3,False,,False,2415,338.9,17.0,7.0,178,149,0.837,439.4
70,20230101,DL2607,48,CLT,JFK,9,230,31,2023-01-01 07:30:00,2023-01-01 09:14:19.474385,2023-01-01 07:30:36.026865,2023-01-01 09:21:37.703730,0.6,7.3,1,False,,False,541,104.3,24.6,9.1,109,87,0.798,143.49
71,20230101,DL1881,111,DTW,TPA,99,731,766,2023-01-01 08:50:00,2023-01-01 11:23:18.222052,2023-01-01 09:05:02.006916,2023-01-01 11:27:25.061232,15.0,4.1,4,False,,False,985,153.3,17.7,7.1,160,152,0.95,221.46
72,20230101,DL3843,171,LAS,JFK,82,693,93,2023-01-01 13:10:00,2023-01-01 18:33:48.726210,2023-01-01 13:11:13.957441,2023-01-01 18:44:50.519065,1.2,11.0,0,False,,False,2243,323.8,21.6,9.7,192,190,0.99,405.32
73,20230101,DL2707,275,PHL,LAX,122,754,1,2023-01-01 08:10:00,2023-01-01 13:50:13.661546,2023-01-01 08:08:40.148744,2023-01-01 13:54:34.585202,-1.3,4.3,0,False,,False,2396,340.2,16.1,11.6,180,134,0.744,388.51
74,20230101,DL3864,180,LAX,CVG,127,604,606,2023-01-01 17:10:00,2023-01-01 21:47:10.174115,2023-01-01 17:09:25.984611,2023-01-01 21:36:04.353616,-0.6,-11.1,0,False,,False,1896,277.2,21.1,8.8,211,156,0.739,357.66
75,20230102,DL2248,260,ORD,JFK,60,439,660,2023-01-02 06:00:00,2023-01-02 08:09:08.572221,2023-01-02 05:59:12.821914,2023-01-02 08:01:33.281840,-0.8,-7.6,0,False,,False,738,129.1,22.8,10.0,150,111,0.74,135.42
76,20230102,DL2708,275,PHL,LAX,68,162,180,2023-01-02 07:40:00,2023-01-02 13:23:44.801161,2023-01-02 08:30:23.268689,2023-01-02 14:05:32.039196,50.4,41.8,5,False,,False,2396,343.7,17.2,14.0,192,150,0.781,354.79
77,20230102,DL2559,86,DTW,CLT,158,205,441,2023-01-02 07:00:00,2023-01-02 08:26:28.729878,2023-01-02 07:28:33.384119,2023-01-02 09:01:47.677091,28.6,35.3,3,False,,False,501,86.5,13.3,7.9,76,62,0.816,123.16
78,20230102,DL3339,63,DCA,JFK,19,174,380,2023-01-02 07:00:00,2023-01-02 07:55:27.725582,2023-01-02 06:55:00,2023-01-02 07:54:34.199363,-5,-0.9,0,False,,False,213,55.5,15.3,12.3,130,96,0.738,71.68
79,20230102,DL3543,216,MCO,JFK,91,381,393,2023-01-02 17:55:00,2023-01-02 20:30:14.626772,2023-01-02 18:29:04.166788,2023-01-02 20:55:02.391541,34.1,24.8,3,False,,False,945,155.2,20.6,11.4,160,125,0.781,176.69
80,20230102,DL2236,342,SLC,DEN,42,637,180,2023-01-02 11:35:00,2023-01-02 12:51:29.697276,2023-01-02 11:30:00,2023-01-02 12:36:29.697276,-5,-15,0,False,,False,390,76.5,15.8,9.8,126,111,0.881,94.24
81,20230102,DL3394,91,DTW,FLL,15,321,796,2023-01-02 18:40:00,2023-01-02 21:37:17.628566,2023-01-02 19:42:41.692988,2023-01-02 22:33:58.349931,62.7,56.7,5,False,,False,1130,177.3,20.5,9.4,130,75,0.577,185.97
82,20230102,DL2094,201,LAX,SEA,103,224,340,2023-01-02 17:30:00,2023-01-02 20:03:13.207393,2023-01-02 17:29:12.869270,2023-01-02 19:59:23.091692,-0.8,-3.8,0,False,,False,955,153.2,17.8,10.8,178,158,0.888,164.35
83,20230102,DL3178,95,DTW,JFK,16,848,177,2023-01-02 11:05:00,2023-01-02 12:43:06.309532,2023-01-02 11:34:36.698753,2023-01-02 13:16:19.080755,29.6,33.2,3,False,,False,508,98.1,23.0,8.9,130,102,0.785,108.51
84,20230102,DL1989,274,PHL,JFK,12,848,277,2023-01-02 21:15:00,2023-01-02 21:44:44.653877,2023-01-02 22:17:14.909589,2023-01-02 22:45:28.726895,62.2,60.7,1,False,,False,94,29.7,11.2,6.3,130,99,0.762,59.81
85,20230102,DL1562,172,LAS,LAX,137,833,652,2023-01-02 07:55:00,2023-01-02 08:48:42.930977,2023-01-02 07:55:17.593764,2023-01-02 08:42:27.633917,0.3,-6.3,0,False,,False,236,53.7,15.9,7.1,76,66,0.868,88.2
86,20230102,DL2145,140,JFK,ATL,89,239,415,2023-01-02 18:20:00,2023-01-02 20:25:41.040812,2023-01-02 18:21:57.413257,2023-01-02 20:29:35.407181,2.0,3.9,0,False,,False,759,125.7,18.3,8.4,160,139,0.869,129.32
87,20230102,DL4086,245,MSP,LGA,68,631,97,2023-01-02 09:30:00,2023-01-02 12:10:55.357359,2023-01-02 09:34:01.286534,2023-01-02 12:06:34.528886,4.0,-4.3,0,False,,False,1018,160.9,20.5,7.7,192,156,0.812,183.08
88,20230102,DL1862,198,LAX,PHX,50,580,455,2023-01-02 07:10:00,2023-01-02 08:21:42.627152,2023-01-02 07:37:44.404273,2023-01-02 08:50:22.369470,27.7,28.7,1,False,,False,369,71.7,14.7,8.9,150,126,0.84,98.99
89,20230102,DL3232,73,DEN,SEA,106,321,297,2023-01-02 17:30:00,2023-01-02 20:17:35.192666,2023-01-02 17:27:27.481920,2023-01-02 20:14:36.203514,-2.5,-3.0,0,False,,False,1022,167.6,19.9,14.4,178,138,0.775,182.52
90,20230102,DL3614,153,JFK,LAS,102,489,13,2023-01-02 06:55:00,2023-01-02 12:11:32.317694,2023-01-02 06:53:42.976672,2023-01-02 12:05:27.880036,-1.3,-6.1,0,False,,False,2243,316.5,13.4,10.6,178,148,0.831,310.68
91,20230102,DL4173,356,SLC,ORD,99,32,332,2023-01-02 07:35:00,2023-01-02 10:50:43.863015,2023-01-02 08:10:46.225824,2023-01-02 11:20:33.757846,35.8,29.8,5,False,,False,1247,195.7,19.5,13.6,160,111,0.694,186.34
92,20230102,DL3027,297,SAN,MSP,94,174,66,2023-01-02 06:40:00,2023-01-02 10:30:59.709547,2023-01-02 06:42:21.103519,2023-01-02 10:34:19.732048,2.4,3.3,0,False,,False,1531,231.0,23.2,8.1,160,141,0.881,236.84
93,20230102,DL2758,190,LAX,LAS,152,374,219,2023-01-02 18:05:00,2023-01-02 19:06:13.553111,2023-01-02 18:44:04.558875,2023-01-02 19:44:20.965958,39.1,38.1,1,False,,False,236,61.2,19.6,10.8,76,57,0.75,84.8
94,20230102,DL1597,246,MSP,MCO,48,230,766,2023-01-02 19:20:00,2023-01-02 22:32:26.009478,2023-01-02 19:27:22.333915,2023-01-02 22:44:05.494710,7.4,11.7,1,False,,False,1311,192.4,15.4,6.1,150,124,0.827,215.02
95,20230102,DL3160,52,CLT,SLC,114,374,343,2023-01-02 17:50:00,2023-01-02 22:04:58.969973,2023-01-02 18:34:16.932580,2023-01-02 22:54:44.373742,44.3,49.8,2,False,,False,1723,255.0,17.8,12.5,178,132,0.742,249.65
96,20230102,DL3955,152,JFK,IAH,83,725,433,2023-01-02 19:40:00,2023-01-02 23:16:19.951151,2023-01-02 19:40:45.693719,2023-01-02 23:18:21.222626,0.8,2.0,0,False,,False,1415,216.3,22.3,9.5,192,145,0.755,212.84
97,20230102,DL3967,334,SFO,SEA,53,381,31,2023-01-02 20:05:00,2023-01-02 21:54:43.437236,2023-01-02 20:09:37.201010,2023-01-02 22:12:01.809232,4.6,17.3,0,False,,False,679,109.7,13.6,7.5,150,110,0.733,126.02
98,20230102,DL2403,69,DEN,DTW,79,377,13,2023-01-02 17:05:00,2023-01-02 19:58:56.302385,2023-01-02 17:04:40.750644,2023-01-02 19:54:50.435767,-0.3,-4.1,0,False,,False,1120,173.9,18.3,9.5,192,157,0.818,172.43
99,20230102,DL3603,365,TPA,ATL,45,183,593,2023-01-02 18:20:00,2023-01-02 19:43:04.169585,2023-01-02 18:22:00.400188,2023-01-02 19:57:26.187970,2.0,14.4,0,False,,False,407,83.1,17.5,12.5,150,126,0.84,90.27
100,20230102,DL2237,315,SEA,LAX,67,224,413,2023-01-02 21:20:00,2023-01-02 23:43:53.153355,2023-01-02 21:15:28.463868,2023-01-02 23:47:58.646511,-4.5,4.1,0,False,,False,955,143.9,12.0,7.3,192,151,0.786,159.57
101,20230102,DL3450,255,MSP,SFO,53,531,219,2023-01-02 16:40:00,2023-01-02 20:36:53.632058,2023-01-02 16:40:39.937808,2023-01-02 20:34:12.746594,0.7,-2.7,0,False,,False,1586,236.9,19.0,11.1,150,136,0.907,212.45
102,20230102,DL3924,138,IAH,SEA,125,365,66,2023-01-02 19:40:00,2023-01-03 00:13:28.355038,2023-01-02 19:41:25.697122,2023-01-03 00:15:42.247688,1.4,2.2,0,False,,False,1872,273.5,19.4,9.9,211,182,0.863,248.3
103,20230102,DL2385,33,AUS,LAX,74,300,166,2023-01-02 17:00:00,2023-01-02 20:07:40.046364,,,,,0,True,1,False,1239,187.7,14.6,11.4,192,0,,183.17
104,20230102,DL2085,106,DTW,RDU,5,326,268,2023-01-02 12:40:00,2023-01-02 14:13:19.242125,2023-01-02 12:35:00,2023-01-02 14:01:11.961658,-5,-12.1,0,False,,False,501,93.3,22.5,5.5,109,69,0.633,105.68
105,20230102,DL1990,274,PHL,JFK,19,273,219,2023-01-02 17:50:00,2023-01-02 18:31:22.856899,2023-01-02 18:21:53.255597,2023-01-02 19:05:34.604134,31.9,34.2,5,False,,False,94,41.4,14.7,14.4,130,96,0.738,61.96
