survey_id,flight_id,ticket_id,customer_id,date_id,overall_satisfaction_1to5,on_time_satisfaction_1to5,crew_satisfaction_1to5,comfort_satisfaction_1to5,food_beverage_satisfaction_1to5,nps_score_0to10,would_recommend,complaint_category
66,44780,414621,17634,20240923,4,5,4,2,3,7,True,None
67,62260,572194,1635,20250611,4,5,3,4,3,8,True,None
68,68454,632505,20868,20250828,4,4,4,4,5,7,True,None
69,57535,528549,10913,20250404,5,5,4,4,3,10,True,None
70,34021,311716,11844,20240503,4,5,4,4,3,7,True,None
71,57234,525788,22849,20250331,3,4,5,3,4,7,True,None
72,43368,401599,16129,20240902,3,5,4,5,3,6,False,None
73,49469,457605,938,20241130,4,5,4,3,4,9,True,None
74,22602,209619,3485,20231114,5,5,5,5,3,8,True,None
75,47433,438851,19103,20241102,5,5,3,4,4,9,True,None
76,61238,562229,18616,20250529,4,5,3,2,5,7,True,None
77,60264,553372,12937,20250515,5,4,4,1,4,10,True,None
78,69818,645078,22386,20250916,4,5,4,3,1,8,True,None
79,66409,612712,20961,20250803,4,5,4,3,3,10,True,None
80,34052,312022,20263,20240503,4,4,4,5,3,8,True,None
81,68109,629199,12477,20250824,4,3,5,4,4,8,True,None
82,37596,345467,19223,20240622,5,5,4,3,4,10,True,None
83,8127,72534,2042,20230504,4,5,4,4,3,8,True,None
84,27213,250661,12230,20240122,5,5,5,3,5,10,True,None
85,45051,417090,21657,20240927,5,5,3,5,5,7,True,None
86,55801,512678,1406,20250309,5,5,4,5,4,9,True,None
87,55969,514235,11982,20250312,4,5,4,5,5,9,True,None
88,19857,184442,24322,20231005,5,5,4,3,2,9,True,None
89,33807,309759,9460,20240430,4,5,5,3,2,6,False,None
90,27463,252800,20723,20240126,3,3,5,3,4,4,False,None
91,50109,462997,316,20241211,4,5,5,2,4,7,True,None
92,23274,216057,21697,20231124,4,5,4,3,4,10,True,None
93,28067,258050,6798,20240204,3,4,4,4,4,5,False,Customer Service
94,44918,415867,21894,20240925,4,4,4,2,4,9,True,None
95,20755,192640,8892,20231018,5,5,5,3,4,10,True,None
96,7454,66374,18949,20230424,5,5,5,3,4,10,True,None
97,19069,177073,24022,20230923,4,5,4,4,4,8,True,None
98,51830,478078,11922,20250106,3,3,4,4,3,8,True,None
99,51221,472626,9475,20241228,2,3,4,2,4,3,False,Cleanliness
100,58698,539051,23516,20250422,3,3,5,3,3,4,False,None
101,45392,420196,14525,20241002,4,5,4,4,3,8,True,None
102,16441,152372,18725,20230819,5,5,4,3,4,10,True,None
103,71679,662139,6254,20251013,2,3,3,4,4,4,False,Booking Issue
104,76062,701909,6826,20251219,4,5,4,2,4,8,True,None
105,76055,701852,11206,20251219,3,5,3,4,4,7,True,Baggage Handling
106,10600,95650,18571,20230608,4,5,5,4,3,7,True,None
107,6068,53742,103,20230403,3,4,4,3,2,5,False,None
108,49105,454023,9868,20241126,4,5,5,4,3,8,True,None
109,65764,606391,16024,20250725,4,5,3,5,3,9,True,None
110,48383,447560,20241,20241115,5,5,4,4,3,10,True,None
111,72084,665879,7608,20251020,4,5,5,4,4,9,True,None
112,5140,45150,11047,20230320,4,5,4,3,3,9,True,None
113,48039,444397,2155,20241110,4,5,4,4,4,8,True,None
114,8127,72539,18106,20230504,4,5,4,4,4,8,True,None
115,67891,627079,2790,20250821,5,5,4,5,3,10,True,None
116,72710,671630,20270,20251029,5,5,4,4,2,10,True,None
117,54348,499653,24251,20250215,5,5,4,4,4,10,True,None
118,24041,223058,11206,20231206,2,3,5,4,3,1,False,Cleanliness
119,1091,9587,16950,20230117,2,3,4,5,4,2,False,Customer Service
120,73473,678719,17719,20251109,4,5,5,3,4,8,True,None
121,63995,589122,23357,20250703,5,4,5,4,2,10,True,None
122,13570,124533,5417,20230715,4,5,5,4,4,10,True,None
123,44957,416207,8994,20240926,4,5,5,4,4,7,True,None
124,71317,658879,6246,20251008,4,5,5,3,4,9,True,None
125,74919,692068,1998,20251130,4,5,4,2,4,8,True,None
126,33240,304585,21456,20240421,4,5,4,4,4,8,True,None
127,16394,151949,4100,20230818,5,5,5,3,4,10,True,None
128,14860,137096,17549,20230731,2,3,4,5,3,4,False,Baggage Handling
129,48303,446831,6547,20241114,5,5,5,3,3,9,True,None
130,40802,376704,4044,20240801,4,5,4,4,4,7,True,None
131,35091,321514,5297,20240519,5,5,4,4,3,10,True,None
132,67546,623772,4381,20250817,4,5,4,3,3,9,True,None
133,1654,14380,372,20230127,3,5,5,4,4,7,True,None
134,29237,268052,312,20240222,4,5,4,4,5,6,False,None
135,2345,20291,17819,20230206,4,5,5,4,5,10,True,None
136,75036,693103,884,20251201,5,5,5,3,3,10,True,None
137,27099,249657,24909,20240121,4,5,4,3,1,7,True,None
138,89,888,6928,20230102,5,5,4,4,4,9,True,None
139,28578,262360,5749,20240212,5,5,5,4,4,10,True,None
140,10141,91257,13943,20230602,4,5,4,4,4,10,True,None
141,28069,258069,6987,20240205,4,4,5,4,4,7,True,None
142,14860,137104,3782,20230731,5,3,4,4,4,10,True,None
143,22969,212987,23671,20231120,4,4,3,5,2,8,True,None
144,31203,285874,21038,20240322,2,4,5,5,5,3,False,Seat Comfort
145,66271,611361,8000,20250801,5,5,5,4,5,8,True,None
146,18512,172020,5682,20230916,4,3,5,4,5,9,True,None
147,54205,498418,13382,20250213,2,4,5,3,2,4,False,Delay/Cancellation
148,15523,143485,12542,20230808,5,5,4,3,2,8,True,None
149,29206,267785,24150,20240222,5,5,5,4,3,10,True,None
150,38250,351754,20763,20240630,5,5,3,4,3,10,True,None
151,75846,700052,21086,20251215,4,5,5,3,3,10,True,None
152,71735,662663,9562,20251014,4,5,4,4,2,6,False,None
153,9599,86065,10525,20230526,4,5,4,5,5,7,True,None
154,36517,335131,22114,20240608,4,5,2,2,5,8,True,None
155,28126,258556,7446,20240205,5,5,4,4,3,10,True,None
156,29571,270951,15522,20240228,5,5,5,4,4,10,True,None
157,49648,459148,8240,20241203,4,5,5,4,4,10,True,None
158,42103,389360,22369,20240818,5,5,4,4,4,9,True,None
159,72754,672047,12470,20251029,2,4,4,3,4,4,False,Delay/Cancellation
160,74371,686885,9894,20251122,4,5,4,4,4,6,False,None
161,73844,682205,23873,20251114,4,5,3,4,3,10,True,None
162,56776,521616,277,20250324,4,5,4,4,4,8,True,None
163,14300,131579,16246,20230724,5,5,5,5,3,9,True,None
164,35500,325344,10047,20240525,5,5,4,3,3,10,True,None
165,47931,443415,19066,20241109,5,5,4,3,4,8,True,None
166,48847,451708,12833,20241121,4,5,4,4,4,9,True,None
167,37811,347580,12458,20240625,4,4,5,5,5,7,True,None
168,44789,414712,20414,20240923,5,5,5,4,4,9,True,None
169,28103,258363,6539,20240205,4,4,4,4,5,8,True,None
170,56164,515965,5430,20250314,5,5,5,5,4,8,True,None
171,12414,113216,22508,20230630,4,5,4,4,3,9,True,None
172,10013,90011,18266,20230601,4,5,4,3,3,7,True,None
173,24640,228170,16769,20231216,5,5,4,3,3,10,True,None
174,9601,86081,23338,20230526,5,5,4,4,3,10,True,None
175,74263,686010,1912,20251121,1,3,3,4,4,2,False,Baggage Handling
176,39158,360685,20693,20240712,4,5,4,2,2,8,True,None
177,67014,618601,14513,20250810,5,5,5,3,4,10,True,None
178,46074,426447,176,20241012,4,5,4,4,4,8,True,None
179,23083,214080,10518,20231122,5,5,4,5,4,10,True,None
180,71268,658455,23082,20251007,4,5,3,4,5,5,False,None
181,39446,363492,9751,20240715,5,5,5,4,4,10,True,None
182,31147,285356,10302,20240321,3,5,4,4,3,6,False,None
183,75379,696032,14852,20251208,4,4,5,4,4,8,True,None
184,14408,132645,24733,20230725,4,4,5,3,2,10,True,None
185,40718,375911,23918,20240731,2,2,5,3,4,6,False,Baggage Handling
186,14719,135671,2040,20230729,5,4,5,3,4,9,True,None
187,24250,224875,18991,20231210,1,3,4,5,5,3,False,Delay/Cancellation
188,39186,360963,18367,20240712,5,4,5,3,2,10,True,None
189,37633,345835,3291,20240622,4,4,5,4,4,8,True,None
190,63650,585829,2348,20250629,5,4,4,3,4,10,True,None
191,45202,418454,13648,20240930,3,3,3,3,3,5,False,None
192,4528,39543,18464,20230311,5,5,5,5,4,9,True,None
193,45873,424612,24163,20241009,4,4,4,5,3,9,True,None
194,75757,699369,10120,20251214,5,5,4,2,2,10,True,None
195,58446,536795,22410,20250418,5,5,5,4,4,10,True,None
196,14044,129094,5206,20230721,4,3,4,4,4,10,True,None
197,28989,265917,10419,20240219,4,5,5,4,2,8,True,None
198,39185,360958,8056,20240712,2,4,3,4,2,2,False,Baggage Handling
199,23051,213759,3132,20231121,5,5,3,5,3,10,True,None
200,45594,422026,21510,20241005,4,5,5,3,3,10,True,None
201,45147,417976,15649,20240929,5,5,4,4,3,9,True,None
202,56691,520861,22710,20250323,5,5,5,3,3,10,True,None
203,6994,62179,18871,20230417,5,5,3,4,5,9,True,None
204,4625,40437,2957,20230313,4,4,3,4,3,9,True,None
205,55201,507144,1618,20250228,4,5,3,2,4,10,True,None
206,24685,228527,14154,20231216,4,5,3,2,3,6,False,None
207,21729,201549,11463,20231101,4,3,4,4,3,7,True,None
208,75631,698267,1253,20251212,4,4,5,2,2,7,True,None
209,65226,601197,23805,20250719,2,4,4,4,3,3,False,Delay/Cancellation
210,17808,165549,6445,20230906,1,2,5,3,3,2,False,Customer Service
211,47816,442403,2053,20241107,4,4,4,3,4,8,True,None
212,63492,584284,5145,20250626,3,4,5,3,3,5,False,None
213,47708,441363,16046,20241105,5,4,4,5,4,10,True,None
214,68969,637422,4350,20250905,3,5,5,4,4,6,False,None
215,71844,663645,17264,20251016,4,5,3,4,3,6,False,None
216,30478,279150,1524,20240312,5,5,5,4,4,7,True,None
217,33706,308838,1093,20240429,3,5,4,5,4,7,True,Delay/Cancellation
218,22642,210004,12625,20231115,4,4,5,4,3,9,True,None
219,7341,65304,6151,20230423,4,4,5,4,1,10,True,None
220,45180,418244,15097,20240929,4,5,5,4,2,6,False,None
221,53589,493099,9517,20250203,4,5,5,5,4,10,True,None
222,5759,50819,2215,20230329,5,5,3,3,3,9,True,None
223,75815,699786,15510,20251215,5,5,4,5,3,10,True,None
224,2275,19698,216,20230205,1,4,4,2,2,2,False,Cleanliness
225,72758,672087,1813,20251029,3,5,4,2,3,6,False,None
226,47670,441006,17710,20241105,4,5,5,5,5,8,True,None
227,41906,387383,21079,20240815,5,4,4,2,2,9,True,None
228,35700,327303,20794,20240527,3,4,3,4,4,7,True,None
229,18867,175263,12477,20230921,4,4,4,4,5,7,True,None
230,13108,119998,1102,20230709,5,5,4,4,4,10,True,None
231,4985,43750,4929,20230318,5,4,4,4,3,9,True,None
232,66960,618075,12145,20250809,5,5,4,4,4,10,True,None
233,14472,133303,19705,20230726,5,5,4,3,3,9,True,None
234,75421,696404,19295,20251208,4,5,4,5,4,7,True,None
235,16535,153301,24683,20230820,4,4,4,5,2,9,True,None
236,24012,222812,9420,20231205,4,5,5,4,4,9,True,None
237,5087,44689,21983,20230319,2,1,4,4,4,4,False,Seat Comfort
238,51974,479254,12350,20250108,4,5,4,5,3,5,False,None
239,67289,621197,17743,20250814,2,3,5,4,2,7,True,Delay/Cancellation
240,40040,369288,18980,20240723,5,5,4,3,4,10,True,None
241,50403,465537,7301,20241215,3,4,3,4,4,6,False,None
242,27229,250804,10804,20240122,4,5,4,5,2,7,True,None
243,62940,578799,24283,20250620,4,5,4,3,3,7,True,None
244,61755,567250,7836,20250605,5,5,3,3,5,10,True,None
245,24774,229309,3090,20231218,4,3,4,3,3,10,True,None
246,32574,298454,14518,20240412,5,5,4,5,2,10,True,None
247,53293,490573,1799,20250130,5,5,5,4,3,10,True,None
248,44532,412314,10963,20240919,2,4,5,3,3,6,False,Delay/Cancellation
249,33481,306781,21205,20240425,4,3,4,4,5,8,True,None
250,62812,577557,13879,20250618,4,5,4,5,3,7,True,None
251,37750,346984,328,20240624,5,4,3,4,4,10,True,None
252,7575,67445,16123,20230426,4,5,4,3,3,8,True,None
253,4997,43875,4260,20230318,4,4,4,4,4,8,True,None
254,1608,13970,11304,20230126,3,5,5,3,5,6,False,None
255,35393,324345,20791,20240524,2,4,4,4,4,3,False,Baggage Handling
256,53208,489869,8311,20250128,4,3,5,4,4,8,True,None
257,17205,159779,7827,20230829,4,5,5,3,2,8,True,None
258,38886,358071,4680,20240708,4,4,4,5,4,6,False,None
259,67964,627803,24067,20250822,5,4,4,4,3,9,True,None
260,12732,116395,16704,20230704,4,5,5,4,4,9,True,None
261,29498,270327,21258,20240227,2,1,4,5,3,4,False,Baggage Handling
262,33186,304098,20237,20240421,4,4,4,4,4,10,True,None
263,65376,602631,6164,20250721,5,5,5,3,3,8,True,None
264,8500,75938,23837,20230510,4,5,4,3,4,7,True,None
265,35270,323230,5477,20240522,5,5,5,4,3,8,True,None
266,6864,61001,17543,20230415,4,5,4,2,2,8,True,None
267,72336,668208,24134,20251023,4,5,4,5,3,7,True,None
268,10541,95086,2105,20230607,5,5,3,4,2,10,True,None
269,71673,662094,18374,20251013,2,3,5,4,5,3,False,Baggage Handling
270,53812,495050,735,20250207,5,4,5,5,4,10,True,None
271,32457,297412,15929,20240410,4,5,5,3,1,9,True,None
272,29534,270644,1060,20240227,4,5,5,4,4,7,True,None
273,40497,373704,22391,20240728,4,5,4,4,4,8,True,None
274,3581,31112,7461,20230225,5,4,4,4,3,9,True,None
275,61648,566215,10027,20250603,5,5,5,3,3,8,True,None
276,16046,148602,4371,20230814,3,5,4,4,5,8,True,None
277,27128,249883,1479,20240121,4,5,5,4,2,8,True,None
278,51568,475867,12243,20250102,4,5,5,5,3,6,False,None
279,59962,550630,79,20250510,4,4,5,3,2,9,True,None
280,35403,324440,14067,20240524,5,5,5,4,3,10,True,None
281,17656,164107,8740,20230904,3,2,5,3,5,6,False,None
282,45594,422024,16639,20241005,5,4,5,4,5,10,True,None
283,62195,571562,22241,20250610,4,5,4,4,3,6,False,None
284,54831,503922,6813,20250222,5,5,3,4,4,10,True,None
285,56673,520711,16625,20250322,5,5,4,2,3,10,True,None
286,16750,155406,10574,20230823,5,5,3,3,2,10,True,None
287,21577,200177,8608,20231029,5,5,4,3,3,9,True,None
288,27961,257110,19975,20240203,2,5,4,4,2,4,False,Cleanliness
289,51546,475633,14344,20250101,4,4,5,3,3,7,True,None
290,12558,114687,3032,20230702,4,5,3,2,4,8,True,None
291,17982,167172,11047,20230908,4,5,5,4,3,8,True,None
292,65623,605024,24163,20250724,5,3,3,3,4,10,True,None
293,23940,222233,7758,20231204,4,3,5,4,4,7,True,None
294,58723,539303,9998,20250422,4,5,3,3,3,9,True,None
295,13557,124414,17890,20230715,4,5,4,4,1,7,True,None
296,47506,439497,17603,20241103,4,5,4,4,5,7,True,None
297,25235,233226,6860,20231225,4,3,4,5,3,10,True,None
298,21345,198066,2516,20231026,4,4,5,4,1,10,True,None
299,22173,205636,1618,20231107,4,4,5,4,3,7,True,None
300,50118,463080,19443,20241211,4,3,4,4,5,9,True,None
301,19478,180930,7514,20230929,5,5,5,2,2,10,True,None
302,9519,85320,10959,20230525,4,2,4,5,4,8,True,None
303,42530,393519,6574,20240822,3,4,5,4,3,8,True,Delay/Cancellation
304,42444,392731,686,20240821,4,4,5,5,3,9,True,None
305,1556,13522,23183,20230125,2,3,4,5,3,4,False,Customer Service
306,32028,293389,24939,20240404,4,5,5,4,3,9,True,None
307,72253,667428,3171,20251022,5,5,4,4,4,10,True,None
308,50589,467116,2557,20241218,4,5,4,3,2,8,True,None
309,8540,76315,18558,20230510,5,5,4,3,4,9,True,None
310,76571,706518,22550,20251226,4,4,5,3,5,8,True,None
311,13213,121028,3934,20230710,5,5,4,4,4,10,True,None
312,42995,397992,23528,20240828,4,5,5,4,4,7,True,None
313,26459,243942,15352,20240110,3,1,5,5,2,6,False,Delay/Cancellation
314,64181,591073,17079,20250705,3,2,3,4,5,5,False,Seat Comfort
315,68706,634996,11206,20250901,4,5,5,3,3,8,True,None
316,27544,253516,1728,20240127,4,5,4,5,3,9,True,None
317,19693,182867,17449,20231002,4,5,5,4,3,8,True,None
318,55828,512924,10809,20250309,4,4,4,5,2,7,True,None
319,14778,136297,12480,20230730,5,4,4,3,2,9,True,None
320,67210,620480,24454,20250813,2,5,4,3,5,7,True,Delay/Cancellation
321,41879,387105,7427,20240815,5,5,4,3,3,10,True,None
322,65019,599242,10803,20250716,5,5,4,4,3,9,True,None
323,12424,113340,13843,20230630,4,5,3,3,4,6,False,None
324,60485,555417,11311,20250517,2,4,4,3,2,4,False,Delay/Cancellation
325,66283,611474,19817,20250801,3,5,5,3,3,4,False,None
326,27409,252340,5682,20240125,2,2,4,4,3,5,False,Customer Service
327,7849,70025,16907,20230430,1,1,3,5,4,0,False,Delay/Cancellation
328,6059,53647,16363,20230403,2,4,3,4,4,6,False,Booking Issue
329,22632,209916,22763,20231115,5,5,4,5,4,9,True,None
330,32829,300819,15325,20240415,3,4,5,3,4,8,True,None
331,48568,449188,17906,20241117,5,5,4,4,3,9,True,None
332,75396,696175,5215,20251208,4,5,5,3,3,9,True,None
333,8919,79762,18266,20230516,5,5,5,4,3,10,True,None
334,20836,193413,14482,20231019,4,5,3,5,2,8,True,None
335,56142,515795,19090,20250314,4,5,4,5,4,9,True,None
336,37919,348578,19578,20240626,5,4,4,3,3,10,True,None
337,57566,528803,6122,20250404,4,4,4,4,3,7,True,None
338,24749,229087,8781,20231217,3,5,3,4,5,4,False,None
339,39600,364990,17230,20240718,4,5,4,3,4,6,False,None
340,72034,665414,13431,20251019,3,5,5,3,4,7,True,None
341,70687,653141,23360,20250929,2,4,4,4,4,6,False,Delay/Cancellation
342,14116,129775,13903,20230721,5,4,5,2,2,9,True,None
343,55312,508184,19361,20250302,5,4,3,4,2,10,True,None
344,14276,131358,9851,20230724,4,5,4,3,5,9,True,None
345,27781,255550,24986,20240131,4,5,4,4,5,8,True,None
346,55490,509824,9,20250304,5,5,4,5,5,8,True,None
347,700,6152,2303,20230112,4,5,5,4,2,9,True,None
348,73393,677989,7404,20251108,5,5,4,3,4,9,True,None
349,59107,542775,8993,20250428,4,5,4,4,3,7,True,None
350,25731,237639,23867,20231231,2,2,5,5,2,3,False,Delay/Cancellation
351,39472,363728,21840,20240716,5,5,5,3,3,9,True,None
352,4811,42167,9802,20230316,3,3,5,4,5,6,False,Booking Issue
353,75944,700921,15033,20251217,4,4,5,5,4,8,True,None
354,62468,574244,8962,20250613,5,5,5,2,3,7,True,None
355,68649,634458,13002,20250831,2,4,3,4,3,4,False,Delay/Cancellation
356,26198,241746,3307,20240107,3,3,5,5,2,5,False,None
357,70776,653973,10372,20250930,5,5,4,4,5,10,True,None
358,38321,352464,23129,20240701,4,5,5,4,4,8,True,None
359,40471,373448,14200,20240728,4,3,5,4,4,9,True,None
360,69182,639353,22654,20250908,3,4,5,3,4,8,True,Delay/Cancellation
361,4320,37700,13731,20230308,5,5,4,5,4,10,True,None
362,52933,487514,18843,20250123,5,3,5,5,3,9,True,None
363,30709,281269,1450,20240315,4,3,5,3,3,8,True,None
364,7695,68553,17869,20230427,5,5,4,3,3,8,True,None
365,35169,322253,18826,20240520,4,5,4,3,3,7,True,None
366,42847,396510,10240,20240826,5,5,4,4,5,10,True,None
367,59780,548955,1451,20250508,3,5,5,3,4,6,False,Delay/Cancellation
368,12270,111839,381,20230629,5,3,4,5,3,10,True,None
369,63429,583683,6505,20250626,1,3,4,3,3,2,False,Baggage Handling
370,54202,498391,11836,20250213,5,5,4,4,5,10,True,None
371,14615,134686,4365,20230728,4,4,4,3,4,6,False,None
372,39331,362335,15023,20240714,4,5,5,4,4,5,False,None
373,35811,328324,2591,20240529,5,5,4,4,4,10,True,None
374,61528,564998,6016,20250602,4,5,4,3,3,6,False,None
375,1857,16101,5007,20230129,4,4,4,3,4,10,True,None
376,63169,581081,15028,20250623,3,5,4,3,3,5,False,Baggage Handling
377,50256,464258,10073,20241213,4,5,4,4,4,8,True,None
378,14013,128800,13049,20230720,3,4,5,2,3,6,False,Delay/Cancellation
379,62097,570630,7155,20250609,4,5,4,3,4,9,True,None
380,43062,398657,11960,20240829,4,5,4,3,3,6,False,None
381,38874,357960,5113,20240708,4,5,3,4,2,10,True,None
382,34758,318487,23181,20240514,4,5,4,3,2,8,True,None
383,46973,434628,17661,20241025,4,4,3,4,1,8,True,None
384,48023,444263,6474,20241110,4,5,4,4,4,10,True,None
385,54354,499724,6001,20250215,1,4,4,4,3,3,False,In-flight Amenities
386,70953,655627,6105,20251002,4,5,4,4,4,8,True,None
387,995,8698,1725,20230116,5,5,5,3,3,10,True,None
388,27157,250155,15802,20240122,4,5,5,3,3,8,True,None
389,67686,625129,24672,20250819,4,5,4,4,2,6,False,None
390,41848,386803,3112,20240814,4,5,5,4,3,8,True,None
391,13528,124116,151,20230714,4,5,5,3,3,9,True,None
392,33336,305432,4682,20240423,4,5,5,3,3,8,True,None
393,34625,317324,22296,20240512,5,5,4,4,5,9,True,None
394,54212,498488,3568,20250213,5,5,5,3,3,9,True,None
395,21468,199203,22720,20231028,4,5,3,4,4,9,True,None
396,67103,619492,17038,20250811,5,5,4,4,2,10,True,None
397,36094,331017,18773,20240602,3,2,5,3,2,5,False,None
398,2332,20185,12658,20230206,4,4,4,4,3,5,False,None
399,14424,132816,3684,20230725,4,5,4,4,3,10,True,None
400,30427,278657,18871,20240311,4,4,5,3,5,5,False,None
401,65431,603184,5948,20250722,5,4,4,3,4,8,True,None
402,40768,376376,11199,20240801,4,5,5,3,4,7,True,None
403,47429,438811,8408,20241101,4,5,4,2,3,8,True,None
404,14406,132628,4680,20230725,4,5,3,4,4,8,True,None
405,19676,182698,14036,20231002,4,5,5,3,5,8,True,None
406,10106,90893,20526,20230602,4,5,5,4,3,7,True,None
407,3147,27196,5847,20230218,4,4,4,4,4,9,True,None
408,67401,622336,7286,20250815,5,5,5,4,3,10,True,None
409,66902,617508,15189,20250809,3,5,3,5,3,5,False,None
410,68268,630722,9560,20250826,4,3,5,3,4,7,True,None
411,13722,126013,432,20230717,5,5,5,3,3,10,True,None
412,20291,188392,13863,20231011,4,5,5,3,4,10,True,None
413,24551,227371,4446,20231214,3,5,3,3,4,7,True,Delay/Cancellation
414,68437,632330,22570,20250828,3,5,4,3,4,7,True,Customer Service
415,12383,112926,7013,20230630,4,5,4,4,3,7,True,None
416,50904,469705,7506,20241223,4,5,4,4,5,8,True,None
417,30327,277738,20034,20240310,3,4,5,3,4,7,True,None
418,41101,379583,21287,20240805,4,4,3,4,4,8,True,None
419,9301,83291,1315,20230522,4,5,4,4,4,6,False,None
420,6426,57007,17175,20230408,5,5,5,3,2,10,True,None
421,45833,424226,14377,20241009,5,5,3,4,3,10,True,None
422,59629,547560,21308,20250505,5,4,5,3,4,10,True,None
423,27927,256831,13117,20240202,5,5,5,3,4,8,True,None
424,32277,295769,8431,20240408,5,5,3,4,4,10,True,None
425,62545,575054,19792,20250615,4,5,4,3,4,8,True,None
426,54155,497963,14210,20250212,5,4,4,3,4,10,True,None
427,26417,243579,10789,20240110,4,5,4,3,2,7,True,None
428,37560,345110,12802,20240621,4,5,4,3,5,6,False,None
429,26435,243736,6016,20240110,3,5,4,4,4,5,False,None
430,34132,312754,21497,20240505,4,5,4,3,4,7,True,None
431,49794,460326,12540,20241206,4,4,5,5,3,6,False,None
432,10701,96639,19772,20230609,5,5,5,5,4,6,False,None
433,17152,159263,15099,20230828,5,5,5,3,5,10,True,None
