maintenance_id,aircraft_id,maintenance_date,maintenance_type,cost_usd,downtime_hours,performed_at_hub,technician_count
109,133,2024-12-11,Unscheduled Repair,2362.79,21.2,False,3
110,35,2023-11-10,Unscheduled Repair,61787.06,8.5,True,8
111,74,2023-07-10,A-Check (Routine),8127.44,5.5,True,4
112,153,2025-11-05,Engine Overhaul,1114545.42,218.3,True,5
113,164,2024-07-14,A-Check (Routine),10822.81,10.0,True,8
114,149,2025-02-06,B-Check,30276.94,22.2,True,6
115,103,2025-01-28,A-Check (Routine),9698.43,8.3,True,8
116,35,2023-07-04,C-Check,345669.63,185.6,False,6
117,157,2025-02-22,A-Check (Routine),10222.29,11.1,False,7
118,90,2023-08-05,Engine Overhaul,415212.85,403.4,True,3
119,33,2023-11-06,C-Check,306864.81,154.2,True,8
120,25,2025-10-20,Unscheduled Repair,12426.99,31.8,False,1
121,96,2023-06-28,Engine Overhaul,570139.34,543.9,True,4
122,147,2024-10-17,D-Check (Heavy),2149177.95,787.9,True,6
123,40,2025-01-09,Unscheduled Repair,72704.09,13.6,True,6
124,11,2024-11-11,C-Check,249308.08,299.5,True,1
125,46,2023-08-11,B-Check,14822.7,33.8,True,3
126,49,2025-10-23,C-Check,369469.24,222.2,True,7
127,14,2023-01-09,Unscheduled Repair,64118.4,31.0,True,6
128,11,2025-02-26,A-Check (Routine),9138.49,8.5,True,8
129,16,2025-07-21,Unscheduled Repair,31804.1,29.3,True,5
130,67,2024-01-13,A-Check (Routine),8154.08,4.8,True,1
131,82,2024-05-22,A-Check (Routine),6084.11,8.6,False,1
132,32,2024-08-21,Unscheduled Repair,36404.75,22.1,True,8
133,53,2024-07-17,Unscheduled Repair,12620.97,30.1,True,6
134,69,2025-05-02,Unscheduled Repair,15593.06,15.3,True,3
135,22,2025-03-12,B-Check,12617.0,35.1,True,7
136,46,2023-03-01,A-Check (Routine),4712.4,8.9,True,6
137,72,2025-01-10,B-Check,21711.9,19.6,False,7
138,3,2025-10-25,A-Check (Routine),6054.97,5.1,False,3
139,107,2024-01-25,A-Check (Routine),9403.08,10.6,True,6
140,59,2025-08-20,B-Check,11646.21,23.3,True,2
141,151,2023-06-25,B-Check,28859.43,26.1,False,4
142,11,2025-11-18,A-Check (Routine),5670.16,6.5,True,1
143,71,2023-06-19,Engine Overhaul,915743.14,200.6,False,4
144,166,2023-02-05,B-Check,26520.21,23.6,False,2
145,63,2025-06-18,B-Check,24157.05,34.9,True,6
146,135,2023-07-25,A-Check (Routine),6205.82,10.2,True,3
147,67,2024-03-02,A-Check (Routine),3943.06,7.3,True,8
148,112,2023-03-01,A-Check (Routine),4582.57,11.5,False,5
149,48,2023-08-07,C-Check,353829.82,271.7,False,6
150,105,2023-02-12,B-Check,23873.57,21.4,True,2
151,136,2025-06-19,Unscheduled Repair,2323.21,44.1,True,5
152,61,2023-12-31,A-Check (Routine),3704.56,4.3,False,5
153,105,2023-06-13,Unscheduled Repair,82377.7,43.6,True,4
154,161,2023-10-27,A-Check (Routine),7624.55,10.0,True,8
155,29,2023-02-09,C-Check,414206.34,231.0,True,8
156,11,2024-09-21,Engine Overhaul,1178770.16,313.7,True,5
157,59,2025-03-24,A-Check (Routine),3613.62,11.7,True,2
158,147,2024-03-16,A-Check (Routine),10936.65,5.1,True,1
159,17,2023-04-01,D-Check (Heavy),1281197.14,609.2,False,6
160,138,2023-12-07,Avionics Update,110805.41,62.1,True,7
161,5,2023-11-13,A-Check (Routine),9271.0,4.2,True,6
162,26,2025-07-24,C-Check,347806.74,282.5,True,1
163,130,2025-07-08,Unscheduled Repair,38724.97,43.8,True,7
164,112,2024-04-05,A-Check (Routine),3013.63,10.3,True,1
165,111,2024-06-25,A-Check (Routine),10416.71,10.2,False,5
166,88,2025-09-10,B-Check,34583.26,13.7,True,1
167,60,2025-03-20,A-Check (Routine),9873.06,9.3,True,6
168,49,2024-02-16,A-Check (Routine),5052.43,4.5,True,3
169,142,2024-06-08,A-Check (Routine),10289.07,9.5,False,6
170,164,2023-03-13,B-Check,16294.9,35.0,True,2
171,121,2025-05-19,A-Check (Routine),3535.73,11.1,True,8
172,77,2023-08-29,A-Check (Routine),7295.29,6.4,True,2
173,156,2025-04-16,B-Check,14443.17,22.0,True,5
174,165,2023-02-12,C-Check,156969.31,160.8,True,1
175,136,2024-05-06,Unscheduled Repair,59821.84,28.0,False,2
176,16,2023-09-01,B-Check,28405.6,21.3,True,7
177,139,2025-09-26,A-Check (Routine),8045.41,11.6,True,2
178,120,2025-09-11,C-Check,331566.98,284.9,True,1
179,14,2025-12-28,Unscheduled Repair,78629.11,37.6,True,1
180,78,2025-03-09,A-Check (Routine),3783.3,8.6,True,4
181,14,2025-11-20,A-Check (Routine),7653.8,6.1,True,5
182,79,2025-11-14,Unscheduled Repair,29392.35,25.5,True,8
183,104,2024-07-08,Unscheduled Repair,7573.71,36.3,True,7
184,121,2025-07-16,Engine Overhaul,684531.9,522.9,True,4
185,58,2023-01-03,A-Check (Routine),6577.91,11.4,True,3
186,150,2023-07-05,B-Check,13742.28,13.0,False,4
187,116,2023-09-18,A-Check (Routine),6991.96,9.1,True,8
188,116,2025-03-06,Engine Overhaul,486018.62,420.1,True,5
189,62,2023-03-04,Unscheduled Repair,31357.41,36.2,False,4
190,57,2023-05-31,B-Check,33833.88,23.4,False,4
191,39,2024-10-04,C-Check,279975.48,144.6,True,3
192,27,2023-07-18,A-Check (Routine),3137.42,4.8,True,8
193,109,2023-05-07,C-Check,212347.72,251.4,True,4
194,93,2024-07-29,Unscheduled Repair,63587.2,18.4,True,4
195,106,2025-04-25,A-Check (Routine),4241.21,6.8,True,6
196,16,2023-03-16,B-Check,21609.51,29.0,False,5
197,35,2023-09-17,Unscheduled Repair,44852.19,43.5,False,6
198,78,2024-07-13,Unscheduled Repair,28209.61,47.1,True,5
199,68,2025-04-13,B-Check,32516.38,15.8,False,3
200,132,2023-05-12,A-Check (Routine),11789.96,9.7,True,7
201,131,2024-12-29,A-Check (Routine),8258.01,5.8,False,3
202,21,2023-01-08,A-Check (Routine),9281.43,4.1,True,6
203,45,2025-04-24,B-Check,28459.71,26.3,True,8
204,154,2025-11-12,D-Check (Heavy),1487824.06,409.0,True,2
205,87,2023-06-24,A-Check (Routine),4169.5,11.8,True,6
206,45,2024-09-30,A-Check (Routine),4205.16,6.7,True,8
207,84,2023-08-29,Avionics Update,71064.84,29.9,True,4
208,128,2024-10-08,A-Check (Routine),7215.73,6.1,True,6
209,61,2024-10-03,C-Check,259568.14,159.6,False,5
210,141,2024-04-12,Unscheduled Repair,49638.98,14.2,True,2
211,18,2025-01-21,A-Check (Routine),7946.63,6.8,True,8
212,100,2024-08-17,Unscheduled Repair,34367.31,29.2,True,4
213,63,2024-04-15,C-Check,283472.36,202.9,False,2
214,72,2023-08-13,Unscheduled Repair,45317.45,44.0,True,2
215,154,2025-08-21,A-Check (Routine),4009.96,6.0,True,1
216,78,2023-09-05,A-Check (Routine),3887.58,9.4,False,7
217,97,2024-07-27,A-Check (Routine),5362.68,11.5,False,4
218,15,2023-01-02,A-Check (Routine),8814.85,10.0,True,6
219,162,2023-05-21,A-Check (Routine),6438.3,10.9,True,5
220,62,2024-03-28,A-Check (Routine),7267.4,9.8,False,1
221,17,2023-04-25,A-Check (Routine),3260.97,10.9,False,4
222,94,2025-04-24,A-Check (Routine),5099.19,4.4,True,8
223,74,2024-10-17,Unscheduled Repair,5779.48,26.1,True,6
224,125,2023-01-16,A-Check (Routine),10922.07,10.5,True,6
225,119,2025-12-16,Unscheduled Repair,10156.78,22.0,True,8
226,104,2024-02-11,A-Check (Routine),4695.7,11.0,True,2
227,66,2025-10-17,Unscheduled Repair,69543.63,30.0,True,5
228,139,2023-04-03,Engine Overhaul,1004237.58,394.3,True,1
229,42,2025-07-13,B-Check,32983.11,26.4,True,7
230,160,2023-07-06,B-Check,15785.27,17.0,True,6
231,52,2024-11-29,A-Check (Routine),10489.31,9.3,True,8
232,115,2024-06-27,B-Check,33924.25,34.2,True,3
233,12,2025-08-29,B-Check,10414.34,18.6,True,7
234,55,2025-12-09,A-Check (Routine),9980.25,4.2,True,1
235,8,2023-05-21,A-Check (Routine),10996.96,11.5,True,8
236,95,2024-08-14,Engine Overhaul,892842.79,596.6,True,7
237,33,2023-12-27,B-Check,23095.18,24.7,True,1
238,36,2025-08-18,Engine Overhaul,687249.35,269.5,True,5
239,24,2025-04-29,A-Check (Routine),11218.81,4.1,True,7
240,125,2025-07-02,B-Check,13074.46,13.1,True,1
241,31,2025-06-19,B-Check,11622.85,30.5,False,6
242,69,2024-12-15,A-Check (Routine),10684.09,4.6,True,6
243,140,2023-05-28,C-Check,313928.29,252.3,True,7
244,165,2025-01-19,A-Check (Routine),8351.72,9.1,False,1
245,112,2023-08-09,B-Check,13070.74,12.3,True,7
246,106,2024-02-28,C-Check,223461.88,261.3,True,6
247,14,2024-04-20,A-Check (Routine),3194.28,8.2,True,4
248,104,2023-01-19,A-Check (Routine),7511.4,9.9,True,4
249,67,2024-07-06,A-Check (Routine),9647.31,7.7,False,5
250,124,2025-02-09,A-Check (Routine),3949.75,11.2,True,8
251,133,2023-03-08,Unscheduled Repair,51418.54,17.2,True,7
252,78,2023-12-14,A-Check (Routine),11800.5,11.3,True,5
253,31,2025-06-27,B-Check,24534.31,29.0,True,1
254,117,2023-11-18,Unscheduled Repair,49895.59,3.5,True,1
255,83,2024-02-19,Unscheduled Repair,14470.16,34.8,False,2
256,39,2024-05-19,A-Check (Routine),8257.39,6.8,True,5
257,9,2024-01-30,Unscheduled Repair,75404.47,43.1,True,6
258,13,2024-01-08,B-Check,32490.32,17.9,True,6
259,117,2024-04-20,A-Check (Routine),7022.42,10.3,True,2
260,63,2025-06-23,Engine Overhaul,598872.85,337.3,False,3
261,133,2024-12-05,A-Check (Routine),8335.09,11.7,False,7
262,137,2025-09-07,D-Check (Heavy),2043006.01,765.1,True,1
263,91,2023-08-23,A-Check (Routine),3454.78,5.8,True,1
264,47,2023-02-18,B-Check,25684.89,31.8,True,5
265,74,2025-02-07,Unscheduled Repair,40687.12,40.3,False,8
266,139,2025-06-17,B-Check,30096.62,15.8,False,3
267,119,2025-01-27,A-Check (Routine),9904.73,5.2,False,3
268,157,2024-11-13,A-Check (Routine),7875.09,7.2,True,6
269,69,2025-06-27,A-Check (Routine),7509.07,10.6,True,5
270,72,2025-05-13,A-Check (Routine),6715.78,7.4,True,1
271,153,2024-03-26,Unscheduled Repair,49846.04,5.2,True,8
272,166,2025-10-09,A-Check (Routine),4690.78,10.5,True,4
273,83,2023-01-31,Engine Overhaul,411661.78,400.5,True,3
274,143,2023-12-12,A-Check (Routine),3674.61,4.9,True,6
275,9,2024-03-10,C-Check,233935.61,120.6,True,2
276,105,2024-04-28,A-Check (Routine),11549.78,7.9,False,1
277,17,2025-01-22,A-Check (Routine),10065.3,10.2,True,8
278,154,2023-03-24,Unscheduled Repair,88107.82,47.3,True,2
279,146,2023-12-03,Unscheduled Repair,45753.4,11.0,False,4
280,66,2023-06-26,A-Check (Routine),10527.04,7.7,True,6
281,55,2025-08-19,Engine Overhaul,825954.1,365.2,True,7
282,143,2023-11-05,A-Check (Routine),5429.8,9.9,True,2
283,55,2024-01-14,Unscheduled Repair,2366.76,31.8,True,3
284,140,2024-06-16,D-Check (Heavy),2124737.41,404.5,True,6
285,160,2023-03-20,Unscheduled Repair,37935.14,8.1,True,3
286,111,2023-06-10,Avionics Update,103452.33,74.5,False,4
287,84,2025-01-08,Avionics Update,56692.29,68.7,True,2
288,10,2025-11-17,B-Check,21646.46,29.1,True,5
289,65,2025-05-09,Unscheduled Repair,76764.17,9.9,True,2
290,86,2025-06-30,Avionics Update,114101.19,42.9,True,8
291,134,2025-07-29,Unscheduled Repair,78823.12,24.4,True,2
292,166,2025-04-05,Unscheduled Repair,67712.97,8.7,True,3
293,67,2024-07-02,A-Check (Routine),4990.29,7.4,True,2
294,101,2024-09-18,A-Check (Routine),7605.33,8.7,True,6
295,131,2023-08-30,A-Check (Routine),7758.5,4.3,True,4
296,54,2023-04-29,Unscheduled Repair,73620.54,14.1,False,7
297,6,2025-11-16,Avionics Update,79527.65,39.1,True,2
298,71,2023-01-01,B-Check,26118.09,29.9,True,2
299,57,2024-10-30,B-Check,20602.63,17.7,False,7
300,145,2024-12-03,D-Check (Heavy),2374143.06,547.3,True,8
301,68,2023-12-19,C-Check,273588.92,241.1,True,7
302,15,2024-03-04,A-Check (Routine),11050.62,10.2,True,1
303,21,2025-02-22,B-Check,20171.01,33.3,True,8
304,119,2023-11-06,A-Check (Routine),9861.3,8.8,True,3
305,108,2025-12-04,A-Check (Routine),7918.63,8.4,True,4
306,87,2024-05-30,A-Check (Routine),6413.92,6.2,True,2
307,128,2025-04-19,Engine Overhaul,1168708.72,401.2,True,6
308,112,2023-09-10,Unscheduled Repair,56352.01,10.0,True,3
309,151,2024-01-27,Engine Overhaul,519071.66,440.6,True,4
310,161,2024-07-22,A-Check (Routine),8131.1,11.3,True,7
311,111,2025-05-19,B-Check,24375.54,13.5,True,1
312,57,2023-08-03,Unscheduled Repair,86125.64,28.4,True,2
313,46,2023-04-11,B-Check,30368.17,16.2,False,5
314,123,2025-04-16,Unscheduled Repair,48670.29,41.3,True,8
315,73,2025-03-29,A-Check (Routine),10161.23,8.3,False,8
316,129,2023-10-19,C-Check,394266.95,160.7,True,1
317,119,2023-12-05,Unscheduled Repair,16831.18,9.2,False,3
318,44,2024-03-09,C-Check,199957.58,133.9,False,7
319,135,2024-09-15,Engine Overhaul,856101.82,550.6,True,3
320,93,2023-07-17,C-Check,342889.87,267.9,True,8
321,154,2024-11-23,A-Check (Routine),7623.25,6.8,True,1
322,11,2025-12-19,B-Check,33879.13,28.9,False,4
323,86,2024-04-19,Unscheduled Repair,23362.01,24.6,True,2
324,129,2025-06-25,A-Check (Routine),10720.97,9.5,True,1
325,93,2023-05-07,Unscheduled Repair,22252.86,3.6,False,5
326,153,2025-07-13,Unscheduled Repair,47459.97,42.9,True,7
327,115,2023-01-29,A-Check (Routine),11172.03,10.8,True,7
328,71,2023-06-23,Avionics Update,111340.87,57.3,True,5
329,130,2025-01-02,A-Check (Routine),9151.49,8.8,False,7
330,149,2025-10-15,C-Check,259309.67,295.1,True,7
331,37,2024-01-12,Avionics Update,34562.35,44.6,True,2
332,139,2025-05-03,Unscheduled Repair,8876.52,46.1,True,5
333,5,2025-08-16,A-Check (Routine),9567.86,6.4,True,6
334,81,2024-11-28,Unscheduled Repair,41009.9,4.9,True,2
335,81,2025-08-01,C-Check,373233.37,122.7,True,6
336,130,2025-09-10,A-Check (Routine),10102.27,7.0,True,1
337,87,2024-09-10,B-Check,10374.13,19.3,True,2
338,27,2024-10-27,A-Check (Routine),6933.11,5.6,True,8
339,113,2024-05-13,A-Check (Routine),7285.94,6.1,False,2
340,20,2024-12-22,Avionics Update,107846.62,69.3,True,5
341,2,2024-06-27,B-Check,13292.61,33.8,True,8
342,10,2023-09-30,B-Check,17958.87,34.2,False,2
343,71,2023-05-09,Unscheduled Repair,40922.59,7.5,True,1
344,82,2025-10-10,A-Check (Routine),10900.57,4.9,True,4
345,54,2025-11-25,A-Check (Routine),10026.72,9.5,False,6
346,110,2025-03-11,Unscheduled Repair,43752.76,34.5,True,3
347,9,2023-11-12,Unscheduled Repair,58758.84,12.9,True,1
348,10,2024-04-07,Engine Overhaul,872497.66,201.6,True,2
349,144,2024-11-19,Unscheduled Repair,33065.69,43.4,False,3
350,37,2023-08-15,B-Check,10773.97,33.5,True,4
351,151,2025-03-07,Unscheduled Repair,21527.53,26.8,True,5
352,118,2025-09-09,A-Check (Routine),10703.04,6.6,True,3
353,137,2023-09-24,A-Check (Routine),8355.04,6.5,False,3
354,88,2025-06-12,C-Check,244598.36,196.6,True,2
355,149,2025-04-23,A-Check (Routine),6457.87,4.1,True,7
356,137,2023-05-05,Unscheduled Repair,51204.12,15.6,True,2
357,130,2023-10-10,A-Check (Routine),3549.94,5.3,True,8
358,114,2025-01-04,Unscheduled Repair,18231.03,31.2,True,3
359,156,2024-06-21,B-Check,31826.51,25.4,True,3
360,13,2023-07-06,Unscheduled Repair,42621.36,40.8,True,2
361,84,2025-10-14,A-Check (Routine),11243.27,5.6,True,6
362,46,2024-04-26,C-Check,200389.29,163.1,True,4
363,25,2025-09-05,Avionics Update,112514.72,78.2,True,5
364,97,2025-03-05,Unscheduled Repair,17822.54,35.5,False,5
365,21,2025-05-26,Unscheduled Repair,14800.05,8.9,True,3
366,55,2025-11-24,Unscheduled Repair,60229.25,40.2,True,5
367,111,2024-06-11,B-Check,24113.37,15.5,True,8
368,68,2023-11-15,Unscheduled Repair,20145.25,43.2,True,2
369,71,2023-05-11,D-Check (Heavy),1338093.35,840.7,True,3
370,52,2024-04-30,B-Check,19318.36,32.4,True,4
371,70,2025-03-06,B-Check,33950.0,32.7,True,2
372,97,2025-11-25,C-Check,228552.96,171.2,True,3
373,32,2023-01-28,Unscheduled Repair,12023.32,8.1,True,5
374,35,2024-08-08,A-Check (Routine),6265.42,8.7,True,6
375,115,2025-03-10,A-Check (Routine),8047.21,5.5,True,7
376,63,2024-05-22,A-Check (Routine),8618.25,11.5,True,6
377,103,2024-03-09,A-Check (Routine),6182.82,4.3,False,2
378,131,2024-06-10,A-Check (Routine),9603.1,8.9,True,3
379,98,2025-04-13,Unscheduled Repair,52230.65,17.6,False,4
380,94,2024-01-23,A-Check (Routine),5704.89,9.9,False,5
381,123,2025-09-01,Unscheduled Repair,62244.99,24.7,False,2
382,4,2024-06-27,D-Check (Heavy),1102938.1,441.3,False,5
383,131,2024-06-20,Avionics Update,46117.07,78.8,True,4
384,7,2025-01-21,A-Check (Routine),8430.43,10.5,True,7
385,106,2023-04-02,Unscheduled Repair,52069.83,41.9,False,6
386,100,2023-08-10,Unscheduled Repair,37997.95,29.1,True,5
387,96,2023-09-10,B-Check,16152.49,26.6,True,7
388,12,2024-10-17,A-Check (Routine),6993.12,4.4,True,8
389,121,2024-04-10,Unscheduled Repair,27454.94,30.6,True,6
390,116,2023-04-15,A-Check (Routine),6690.49,6.3,True,4
391,90,2024-09-26,A-Check (Routine),7716.93,6.4,True,5
392,165,2024-08-03,Unscheduled Repair,72708.98,6.8,True,1
393,7,2023-11-16,C-Check,436079.44,239.4,True,6
394,36,2024-08-15,A-Check (Routine),3721.77,10.7,True,7
395,14,2023-11-23,A-Check (Routine),10920.82,10.0,True,8
396,139,2023-03-25,B-Check,17895.54,12.9,True,4
397,115,2023-03-20,Unscheduled Repair,39456.58,10.5,True,2
398,47,2023-09-15,A-Check (Routine),10306.11,6.4,True,7
399,146,2023-11-04,A-Check (Routine),4416.98,8.5,True,5
400,164,2023-12-16,Unscheduled Repair,17427.88,47.7,True,3
401,138,2023-01-30,A-Check (Routine),10293.7,8.8,True,2
402,116,2024-06-06,A-Check (Routine),8577.41,10.9,True,3
403,101,2024-04-03,A-Check (Routine),4263.58,10.5,True,5
404,118,2025-03-04,A-Check (Routine),5744.39,7.3,True,4
405,38,2025-01-26,A-Check (Routine),4869.06,9.3,True,2
406,40,2023-01-21,Unscheduled Repair,45044.16,3.4,True,3
407,121,2023-10-18,A-Check (Routine),11321.03,5.3,True,6
408,53,2024-06-23,Engine Overhaul,409394.69,491.7,False,1
409,106,2025-10-29,B-Check,11685.13,20.1,False,7
410,22,2025-12-26,A-Check (Routine),7804.81,9.1,True,3
411,71,2024-07-24,B-Check,23814.8,24.7,True,6
412,120,2025-07-14,A-Check (Routine),3018.09,9.5,True,4
413,138,2025-11-04,D-Check (Heavy),1180116.07,739.2,True,3
414,6,2024-05-18,Unscheduled Repair,55732.76,34.8,False,1
415,43,2024-08-14,B-Check,34851.13,20.0,False,1
416,15,2025-01-28,B-Check,15444.41,33.9,True,5
417,112,2025-06-09,A-Check (Routine),10881.94,4.3,False,6
418,95,2023-06-09,A-Check (Routine),4097.41,9.3,True,1
419,24,2023-07-08,C-Check,244782.46,220.9,True,2
420,54,2024-01-25,A-Check (Routine),7157.02,9.3,True,8
421,43,2024-06-24,B-Check,20475.8,13.2,False,2
422,38,2024-08-08,A-Check (Routine),8361.63,6.2,False,6
423,74,2025-10-10,A-Check (Routine),11937.8,11.0,True,4
424,143,2025-08-10,A-Check (Routine),10658.28,6.6,True,3
425,149,2023-07-19,A-Check (Routine),11633.44,5.1,True,3
426,38,2024-09-27,B-Check,13907.42,12.9,False,4
427,99,2023-10-11,A-Check (Routine),5345.49,10.0,True,1
428,36,2024-02-06,B-Check,10313.18,34.1,True,3
429,116,2025-10-20,C-Check,167528.53,145.7,True,8
430,75,2025-06-15,B-Check,30477.28,30.3,True,4
431,149,2025-09-04,Unscheduled Repair,7761.96,27.2,True,7
432,101,2024-07-12,A-Check (Routine),5667.48,11.0,False,6
