aircraft_id,tail_number,model,manufacturer,total_capacity,first_class_seats,comfort_plus_seats,economy_seats,year_manufactured,home_hub,status
70,N970DL,A321,Airbus,192,0,30,162,2022,LAX,In Maintenance
71,N971DS,A321,Airbus,192,0,30,162,2022,DTW,Active
72,N972DL,A321,Airbus,192,0,30,162,2014,SEA,Active
73,N973DL,A321,Airbus,192,0,30,162,2016,ATL,Active
74,N974DL,A321,Airbus,192,0,30,162,2018,ATL,Active
75,N975DS,A321,Airbus,192,0,30,162,2017,SEA,Active
76,N976DY,A321,Airbus,192,0,30,162,2016,LAX,Active
77,N977DS,A321,Airbus,192,0,30,162,2022,LAX,Active
78,N978DY,A321,Airbus,192,0,30,162,2016,SLC,Active
79,N979DY,A321,Airbus,192,0,30,162,2019,DTW,Active
80,N980DL,A321,Airbus,192,0,30,162,2014,SEA,Active
81,N981DY,A321,Airbus,192,0,30,162,2018,JFK,Active
82,N982DY,A321,Airbus,192,0,30,162,2020,SLC,Active
83,N983DL,A321,Airbus,192,0,30,162,2014,ATL,Active
84,N984DY,A321,Airbus,192,0,30,162,2018,SLC,Active
85,N985DL,B737-800,Boeing,160,0,30,130,2009,DTW,Active
86,N986DS,B737-800,Boeing,160,0,30,130,2014,JFK,Active
87,N987DS,B737-800,Boeing,160,0,30,130,2012,DTW,Active
88,N988DX,B737-800,Boeing,160,0,30,130,2013,DTW,Active
89,N989DL,B737-800,Boeing,160,0,30,130,2013,SLC,Active
90,N990DL,B737-800,Boeing,160,0,30,130,2006,SEA,Active
91,N991DL,B737-800,Boeing,160,0,30,130,2007,SLC,Active
92,N992DS,B737-800,Boeing,160,0,30,130,2008,JFK,Active
93,N993DY,B737-800,Boeing,160,0,30,130,2013,DTW,Active
94,N994DY,B737-800,Boeing,160,0,30,130,2006,DTW,Active
95,N995DY,B737-800,Boeing,160,0,30,130,2006,JFK,Active
96,N996DX,B737-800,Boeing,160,0,30,130,2013,MSP,Active
97,N997DY,B737-800,Boeing,160,0,30,130,2017,SEA,Active
98,N998DY,B737-800,Boeing,160,0,30,130,2008,DTW,Active
99,N999DX,B737-800,Boeing,160,0,30,130,2009,ATL,Active
100,N1000DL,B737-800,Boeing,160,0,30,130,2017,MSP,Active
101,N1001DL,B737-900ER,Boeing,178,0,32,146,2009,LAX,Active
102,N1002DY,B737-900ER,Boeing,178,0,32,146,2017,SLC,Active
103,N1003DS,B737-900ER,Boeing,178,0,32,146,2009,LAX,Active
104,N1004DL,B737-900ER,Boeing,178,0,32,146,2011,ATL,Active
105,N1005DL,B737-900ER,Boeing,178,0,32,146,2019,SLC,Active
106,N1006DS,B737-900ER,Boeing,178,0,32,146,2015,ATL,Active
107,N1007DS,B737-900ER,Boeing,178,0,32,146,2018,LAX,Active
108,N1008DL,B737-900ER,Boeing,178,0,32,146,2018,ATL,Active
109,N1009DY,B737-900ER,Boeing,178,0,32,146,2019,LAX,Active
110,N1010DX,B737-900ER,Boeing,178,0,32,146,2013,DTW,Active
111,N1011DX,B737-900ER,Boeing,178,0,32,146,2012,MSP,Active
112,N1012DY,B737-900ER,Boeing,178,0,32,146,2011,SEA,Active
113,N1013DX,B737-900ER,Boeing,178,0,32,146,2016,MSP,Active
114,N1014DL,B737-900ER,Boeing,178,0,32,146,2009,JFK,Active
115,N1015DL,B757-200,Boeing,180,20,0,160,2001,LAX,Active
116,N1016DS,B757-200,Boeing,180,20,0,160,2008,MSP,Active
117,N1017DS,B757-200,Boeing,180,20,0,160,2005,ATL,Active
118,N1018DS,B757-200,Boeing,180,20,0,160,2005,MSP,Active
119,N1019DS,B757-200,Boeing,180,20,0,160,2007,SLC,Active
120,N1020DX,B757-200,Boeing,180,20,0,160,2009,SLC,Active
121,N1021DL,B757-200,Boeing,180,20,0,160,2010,SLC,Active
122,N1022DX,B757-200,Boeing,180,20,0,160,2010,ATL,Active
123,N1023DS,B757-200,Boeing,180,20,0,160,2004,ATL,Active
124,N1024DL,B757-200,Boeing,180,20,0,160,2008,DTW,Active
125,N1025DX,B767-300ER,Boeing,211,26,0,185,2002,LAX,Active
126,N1026DS,B767-300ER,Boeing,211,26,0,185,2009,MSP,Active
127,N1027DS,B767-300ER,Boeing,211,26,0,185,2008,SEA,Active
128,N1028DX,B767-300ER,Boeing,211,26,0,185,2006,JFK,Active
129,N1029DX,B767-300ER,Boeing,211,26,0,185,2012,SLC,Active
130,N1030DL,B767-300ER,Boeing,211,26,0,185,1999,SEA,Active
131,N1031DY,B767-300ER,Boeing,211,26,0,185,2011,MSP,Active
132,N1032DL,B767-300ER,Boeing,211,26,0,185,1998,MSP,Active
133,N1033DS,CRJ-900,Bombardier,76,0,12,64,2014,MSP,Active
134,N1034DS,CRJ-900,Bombardier,76,0,12,64,2015,JFK,Active
135,N1035DY,CRJ-900,Bombardier,76,0,12,64,2012,ATL,Active
136,N1036DL,CRJ-900,Bombardier,76,0,12,64,2005,SEA,Active
137,N1037DS,CRJ-900,Bombardier,76,0,12,64,2012,ATL,Active
138,N1038DX,CRJ-900,Bombardier,76,0,12,64,2013,LAX,Active
139,N1039DS,CRJ-900,Bombardier,76,0,12,64,2010,DTW,Active
140,N1040DL,CRJ-900,Bombardier,76,0,12,64,2008,MSP,Active
141,N1041DL,CRJ-900,Bombardier,76,0,12,64,2009,DTW,Active
142,N1042DS,CRJ-900,Bombardier,76,0,12,64,2014,ATL,Active
143,N1043DX,CRJ-900,Bombardier,76,0,12,64,2012,SLC,Active
144,N1044DY,CRJ-900,Bombardier,76,0,12,64,2013,SEA,Active
145,N1045DS,CRJ-900,Bombardier,76,0,12,64,2007,SLC,Active
146,N1046DS,CRJ-900,Bombardier,76,0,12,64,2006,JFK,Active
147,N1047DL,CRJ-900,Bombardier,76,0,12,64,2006,SEA,Active
148,N1048DX,CRJ-900,Bombardier,76,0,12,64,2010,SLC,Active
149,N1049DS,E175,Embraer,76,0,12,64,2017,DTW,Active
150,N1050DL,E175,Embraer,76,0,12,64,2019,SLC,Active
151,N1051DL,E175,Embraer,76,0,12,64,2020,DTW,Active
152,N1052DS,E175,Embraer,76,0,12,64,2020,MSP,Active
153,N1053DX,E175,Embraer,76,0,12,64,2016,DTW,Active
154,N1054DL,E175,Embraer,76,0,12,64,2016,JFK,Active
155,N1055DX,E175,Embraer,76,0,12,64,2017,SLC,In Maintenance
156,N1056DL,E175,Embraer,76,0,12,64,2017,MSP,Active
157,N1057DY,E175,Embraer,76,0,12,64,2021,MSP,Active
158,N1058DL,E175,Embraer,76,0,12,64,2014,MSP,Active
159,N1059DS,E175,Embraer,76,0,12,64,2022,MSP,Active
160,N1060DL,E175,Embraer,76,0,12,64,2014,LAX,Active
161,N1061DY,E175,Embraer,76,0,12,64,2018,SEA,Active
162,N1062DX,E175,Embraer,76,0,12,64,2019,LAX,Active
163,N1063DL,E175,Embraer,76,0,12,64,2019,LAX,Active
164,N1064DS,E175,Embraer,76,0,12,64,2017,ATL,Active
165,N1065DY,E175,Embraer,76,0,12,64,2013,LAX,Active
166,N1066DS,E175,Embraer,76,0,12,64,2018,JFK,Active
